SNDG	ELIGIBLE_FIN_STAT_COND_1	ELIGIBLE_FIN_STAT_COND_2	ELIGIBLE_FIN_STAT_COND_3	ELIGIBLE_FIN_STAT_COND_4	ELIGIBLE_FIN_STAT_COND_5	ELIGIBLE_FIN_STAT_COND_6	ELIGIBLE_FIN_STAT_COND_7	ELIGIBLE_FIN_STAT_COND_8	ELIGIBLE_FIN_STAT_COND_9	NUM_IND_3	IND_03_	NUM_IND_4	DEN_IND_4	IND_04_	NUM_IND_5	DEN_IND_5	IND_05_	BR3	BR4	BR5	BR000009	BR000001	colore	COLOR_APP
0000000081809207	1	1	1	1	1	0	1	1	1	1000,000000	?	1000,000000	1000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000047292389	1	1	1	1	1	0	1	1	1	-905000,000000	?	-321000,000000	3676000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000016876647	1	1	1	1	1	0	1	1	1	-761000,000000	?	-214000,000000	5341000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000074890067	1	1	1	1	1	0	0	0	0	1886000,000000	?	0,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000016615365	1	1	1	1	1	1	1	1	1	-254000,000000	-0,052	-415000,000000	6473000,000000	-0,064	?	?	?	1	1	0	0	0	?	S01
0000000072373039	1	1	1	1	1	1	1	1	1	-46000,000000	-0,208	2021000,000000	12480000,000000	0,162	?	?	?	1	1	0	0	0	?	S01
0000000017114954	1	1	1	1	1	0	1	1	1	-32000,000000	?	-718000,000000	3505000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000026957057	1	1	1	1	1	1	1	1	1	9000,000000	0,164	676000,000000	3536000,000000	0,191	?	?	?	1	1	0	0	0	?	S01
0000000017861512	1	1	1	1	1	1	1	1	1	83000,000000	0,012	206000,000000	189000,000000	1,090	?	?	?	1	0	0	0	0	?	S01
0000000017019072	1	1	1	1	1	0	1	1	1	-82000,000000	?	-95000,000000	3020000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000016165654	1	1	1	1	1	1	1	1	1	-132000,000000	-0,487	-3000,000000	434000,000000	-0,007	?	?	?	1	1	0	0	0	?	S01
0000000017889618	1	1	1	1	1	1	1	1	1	1845000,000000	0,223	9538000,000000	86397000,000000	0,110	?	?	?	1	1	0	0	0	?	S01
0000000017272029	1	1	1	1	1	1	1	1	1	170000,000000	0,042	-110000,000000	22595000,000000	-0,005	?	?	?	1	1	0	0	0	?	S01
0000000088434934	1	1	1	1	1	1	0	0	0	300000,000000	?	5345000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000016822945	1	1	1	1	1	0	1	1	1	168000,000000	?	27000,000000	1750000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017365917	1	1	1	1	1	1	1	1	1	200000,000000	0,270	801000,000000	8847000,000000	0,091	?	?	?	1	1	0	0	0	?	S10
0000000016982062	1	1	1	1	1	0	1	1	1	131000,000000	?	227000,000000	2733000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017774059	1	1	1	1	1	0	1	1	1	864000,000000	?	1103000,000000	21923000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017072136	1	1	1	1	1	1	1	1	1	199000,000000	0,081	-1700000,000000	6046000,000000	-0,281	?	?	?	1	1	0	0	0	?	S30
0000000016922533	1	1	1	1	1	1	1	1	1	-1820000,000000	-0,238	-338000,000000	2977000,000000	-0,114	?	?	?	1	1	0	0	0	?	S10
0000000017455220	1	1	1	1	1	0	1	1	1	-309000,000000	?	2925000,000000	733000,000000	?	?	?	?	0	0	0	0	0	?	S50
0000000074711676	1	1	1	1	1	0	0	0	0	289000,000000	?	247000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000068555870	1	1	1	1	1	0	1	1	1	46000,000000	?	-340000,000000	1025000,000000	?	?	?	?	0	0	0	0	0	?	S10
0000000016853758	1	1	1	1	1	1	1	1	1	-38000,000000	-0,025	-208000,000000	7249000,000000	-0,029	?	?	?	1	1	0	0	0	?	S01
0000000016165793	1	1	1	1	1	0	0	0	0	7049000,000000	?	5589000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000049773906	1	1	1	1	1	1	1	1	1	1000,000000	0,027	185000,000000	1123000,000000	0,165	?	?	?	1	1	0	0	0	?	S01
0000000068176134	1	1	1	1	1	0	1	1	1	-486000,000000	?	226000,000000	10662000,000000	?	?	?	?	0	0	0	0	0	?	S10
0000000058836068	1	1	1	1	1	1	1	1	1	-28000,000000	-0,204	-288000,000000	1077000,000000	-0,267	?	?	?	1	1	0	0	0	?	S01
0000000016931756	1	1	1	1	1	0	1	1	1	28000,000000	?	279000,000000	8246000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017288010	1	1	1	1	1	0	0	0	0	3859000,000000	?	3195000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000078888288	1	1	1	1	1	1	1	1	1	756000,000000	0,529	326000,000000	5256000,000000	0,062	?	?	?	0	1	0	0	0	?	S01
0000000016593780	1	1	1	1	1	1	1	1	1	10000,000000	0,002	-3089000,000000	22022000,000000	-0,140	?	?	?	1	1	0	0	0	?	S01
0000000017729112	1	1	1	1	1	0	1	1	1	-153000,000000	?	91000,000000	3209000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017633834	1	1	1	1	1	0	1	1	1	4000,000000	?	27000,000000	2556000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017784607	1	1	1	1	1	1	1	1	1	835000,000000	0,389	4527000,000000	59086000,000000	0,077	?	?	?	1	1	0	0	0	?	S30
0000000017416258	1	1	1	1	1	0	1	1	1	17000,000000	?	-97000,000000	349000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000072594010	1	1	1	1	1	1	1	1	1	-387000,000000	-0,518	-1782000,000000	7089000,000000	-0,251	?	?	?	1	1	0	0	0	?	S01
0000000016866695	1	1	1	1	1	0	1	1	1	1000,000000	?	-29000,000000	571000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000016170020	1	1	1	1	1	0	1	1	1	-875000,000000	?	-37000,000000	614000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000016867052	1	1	1	1	1	1	1	1	1	425000,000000	0,245	73000,000000	1878000,000000	0,039	?	?	?	1	1	0	0	0	?	S10
0000000017035375	1	1	1	1	1	0	1	1	1	309000,000000	?	17000,000000	21040000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000063706941	1	1	1	1	1	1	0	0	0	34215000,000000	?	5378000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000016720616	1	1	1	1	1	0	1	1	1	2000,000000	?	236000,000000	4095000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017355314	1	1	1	1	1	1	1	1	1	45000,000000	0,225	1928000,000000	11138000,000000	0,173	?	?	?	1	1	0	0	0	?	S01
0000000017190417	1	1	1	1	1	0	1	1	1	-29000,000000	?	140000,000000	889000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017474541	1	1	1	1	1	1	1	1	1	104000,000000	0,034	26000,000000	2837000,000000	0,009	?	?	?	1	1	0	0	0	?	S10
0000000047342336	1	1	1	1	1	1	1	1	1	1365000,000000	0,054	-143000,000000	2206000,000000	-0,065	?	?	?	1	1	0	0	0	?	S01
0000000065030203	1	1	1	1	1	1	1	1	1	113000,000000	0,483	2753000,000000	15681000,000000	0,176	?	?	?	1	1	0	0	0	?	S10
0000000067576337	1	1	1	1	1	1	1	1	1	238000,000000	0,964	1691000,000000	1178000,000000	1,435	?	?	?	0	0	0	0	0	?	S01
