SNDG	NUM_IND_58	DEN_IND_58	IND_58	NUM_IND_55	DEN_IND_55	IND_55	NUM_IND_56	DEN_IND_56	IND_56	NUM_IND_57	DEN_IND_57	IND_57	COLOR_APP
0000000090634397	0,000000000000	35000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	7259,666666666667	7259,666666666667	1,000000000000	S00
0000000066823848	?	70000,00	9999999,000000000000	?	?	?	?	?	?	?	?	?	S00
0000000016551001	0,000000000000	1773000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	82381,333333333333	250000,000000000000	0,329525333333	289250,666666666667	289250,666666666667	1,000000000000	S01
0000000087399030	?	358000,00	9999999,000000000000	?	?	?	?	?	?	?	?	?	S00
0000000084335792	0,000000000000	3773000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	S01
0000000016395130	0,000000000000	3253000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	2369,333333333333	50000,000000000000	0,047386666667	566604,000000000000	566604,000000000000	1,000000000000	S01
0000000016971431	0,000000000000	2244000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	14134,333333333333	16000,000000000000	0,883395833333	0,000000000000	0,000000000000	-1000000,000000000000	S00
0000000017259604	0,000000000000	18000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	22011,666666666667	40000,000000000000	0,550291666667	0,000000000000	0,000000000000	-1000000,000000000000	S00
0000000054978800	71550,666666666667	3606000,00	0,019842114994	0,000000000000	400000,000000000000	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	199831,666666666667	199831,666666666667	1,000000000000	S01
0000000017362215	0,000000000000	468000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	5699,666666666667	27047,333333333333	0,210729338690	93177,666666666667	93177,666666666667	1,000000000000	S00
0000000074895359	0,000000000000	35000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	742,000000000000	742,000000000000	1,000000000000	14107,666666666667	14107,666666666667	1,000000000000	S00
0000000058861292	0,000000000000	97000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	1764,000000000000	3500,000000000000	0,504000000000	0,000000000000	0,000000000000	-1000000,000000000000	S00
